question,original_answers,generated_answers
List all political parties Dean Del Mastro was a member of from 2010 to 2020.,"Conservative Party of Canada (2010, 2011, 2012, 2013)
Independent Conservative (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","[Final Answer]: Conservative Party of Canada (2010, 2011, 2012, 2013, 2014, 2015, 2020)"
List all political parties Martin Hamilton-Smith was a member of from 2010 to 2014.,"Liberal Party of Australia (2010, 2011, 2012, 2013, 2014)
Liberal Party of Australia (South Australian Division) (2010, 2011, 2012, 2013, 2014)","[Final Answer]: Liberal Party of Australia (2010, 2011, 2012, 2013, 2014)"
List all political parties Marcelo Ebrard was a member of from 2010 to 2020.,"Party of the Democratic Revolution (2010, 2011, 2012, 2013, 2014, 2015)
National Regeneration Movement (2018, 2019, 2020)",[Final Answer]: There is no information available on the political parties Marcelo Ebrard was a member of from 2010 to 2020.
List all political parties Alison Anderson was a member of from 2011 to 2014.,"Country Liberal Party (2011, 2012, 2013, 2014)
Clive Palmer's United Australia Party (2014)",[Final Answer]: There is not enough information available to answer the question.
List all political parties Ciro Gomes was a member of from 2010 to 2020.,"Brazilian Socialist Party (2010, 2011, 2012, 2013)
Republican Party of the Social Order (2013, 2014, 2015)
Democratic Labour Party (2015, 2016, 2017, 2018, 2019, 2020)","[Final Answer]: Brazilian Socialist Party (2010, 2011, 2012, 2013)
Democratic Labor Party (2014, 2015, 2016, 2017)
PDT - Democratic Labor Party (2020)"
List all political parties María Santos Gorrostieta Salazar was a member of from 2010 to 2012.,"Institutional Revolutionary Party (2010)
Party of the Democratic Revolution (2010, 2011, 2012)",[Final Answer]: María Santos Gorrostieta Salazar was a member of the Party of the Democratic Revolution (PRD) from 2010 to 2012.
List all political parties Oleksandr Vilkul was a member of from 2010 to 2020.,"Party of Regions (2010, 2011, 2012, 2013, 2014)
Opposition Bloc (2014, 2015, 2016, 2017, 2018)
Opposition Bloc — Party of Peace and Development (2018, 2019, 2020)","[Final Answer]: Party of Regions (2010, 2011, 2012, 2013)
Opposition Bloc (2014, 2015, 2016, 2017)
For Life (2020)"
List all political parties Patrick Devedjian was a member of from 2010 to 2015.,"Union for a Popular Movement (2010, 2011, 2012, 2013, 2014, 2015)
Rally for the Republic (2010, 2011, 2012, 2013, 2014, 2015)","[Final Answer]: Union for a Popular Movement (2010, 2011, 2012, 2013, 2014, 2015)"
List all political parties Yuriy Boyko was a member of from 2010 to 2020.,"Party of Regions (2010, 2011, 2012, 2013, 2014)
Opposition Bloc (2014, 2015, 2016, 2017, 2018)
Opposition Platform — For Life (2018, 2019, 2020)","[Final Answer]: Opposition Bloc (2010, 2011, 2012, 2013, 2014, 2015, 2016)
For Life (2017, 2018, 2019)
Opposition Platform - For Life (2020)"
List all political parties Volodymyr Groysman was a member of from 2010 to 2019.,"Conscience of Ukraine (2010, 2011, 2012, 2013, 2014)
Our Ukraine (2010, 2011, 2012, 2013, 2014)
European Solidarity (2014, 2015, 2016, 2017, 2018, 2019)","[Final Answer]: Volodymyr Groysman was a member of the following political parties from 2010 to 2019:
1. Party of Regions (2010-2014)
2. Petro Poroshenko Bloc ""Solidarity"" (2014-2019)"
List all employers Niall Ferguson worked for from 2010 to 2020.,"Harvard University (2010, 2011, 2012, 2013, 2014, 2015, 2016)
Hoover Institution (2016, 2017, 2018, 2019, 2020)","[Final Answer]: Harvard University (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018)
Stanford University (2020)"
List all employers Roger Scruton worked for from 2010 to 2020.,"University of Oxford (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
University of St Andrews (2011, 2012, 2013, 2014)
University of Buckingham (2015, 2016, 2017, 2018, 2019, 2020)",[Final Answer]: Roger Scruton worked as a freelance writer and philosopher during the period from 2010 to 2020.
List all employers Glenn Greenwald worked for from 2010 to 2020.,"Salon (2010, 2011, 2012)
The Guardian (2012, 2013)
The Intercept (2014, 2015, 2016, 2017, 2018, 2019, 2020)",[Final Answer]: The Intercept (2014-2020)
List all employers Jürgen Klopp worked for from 2010 to 2020.,"Borussia Dortmund (2010, 2011, 2012, 2013, 2014, 2015)
Liverpool F.C. (2015, 2016, 2017, 2018, 2019, 2020)","[Final Answer]: Borussia Dortmund (2010, 2011, 2012, 2013, 2014)
Liverpool FC (2015, 2016, 2017, 2018, 2019, 2020)"
List all employers Chen Guangcheng worked for from 2012 to 2020.,"New York University (2012, 2013)
Witherspoon Institute (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)",[Final Answer]: Chen Guangcheng primarily worked as a human rights activist and lawyer during the period from 2012 to 2020.
List all employers Karl Lagerfeld worked for from 2010 to 2019.,"Fendi (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019)
Chanel (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019)","[Final Answer]: Chanel (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018)
Fendi (2010, 2011, 2012, 2013, 2014, 2015, 2016)
Karl Lagerfeld (own brand) (all years from 2009 to his death in February of
    [Final Answer]:"
List all employers Hunter Biden worked for from 2013 to 2020.,"BHR Partners (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Burisma Holdings (2014, 2015, 2016, 2017, 2018)","[Final Answer]: Burisma Holdings (2014-2019)
Boies Schiller Flexner LLP (2016-2019)
Rosemont Seneca Partners LLC (2013-2020)"
List all employers John L. Smith worked for from 2012 to 2016.,"University of Arkansas (2012)
Fort Lewis College (2013, 2014, 2015, 2016)","[Final Answer]: Michigan State University (2012)
Arkansas Razorbacks football (2012, 2013)
Fort Lewis College (2014)
Kentucky Wildcats football (2015)
Fayetteville High School (2016)"
List all employers Mindy Grossman worked for from 2010 to 2020.,"Home Shopping Network (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)
WW International (2017, 2018, 2019, 2020)","[Final Answer]: HSN (2010, 2011, 2012, 2013)
Weight Watchers International (2017, 2018, 2019, 2020)"
List all employers Sergei Krikalev worked for from 2010 to 2020.,"Yuri Gagarin Cosmonaut Training Center (2010, 2011, 2012, 2013, 2014)
TsNIIMash (2014, 2015, 2016, 2017, 2018, 2019, 2020)","[Final Answer]: Russian Federal Space Agency (2010, 2011, 2012, 2013, 2014, 2015, 2016)
Roscosmos State Corporation for Space Activities (2016, 2017, 2018, 2019)
Yuzhmash (2020)"
List all employers Danny White worked for from 2012 to 2020.,"University at Buffalo (2012, 2013, 2014, 2015)
University of Central Florida (2015, 2016, 2017, 2018, 2019, 2020)","[Final Answer]: Dallas Cowboys (2012, 2013, 2014, 2015, 2016)
Arizona State University (2017, 2018)
University of Tennessee (2018, 2019, 2020)"
List all employers Matt Mason worked for from 2011 to 2020.,"BitTorrent (2011, 2012, 2013, 2014, 2015)
Kraken (2019, 2020)","[Final Answer]: Matt Mason worked for the following employers from 2011 to 2020:
- XYZ Corporation (2011, 2012, 2013)
- ABC Industries (2014, 2015)
- DEF Company (2016, 2017)
- GHI Group (2018, 2019)
- JKL Enterprises (2020)"
List all employers David Hernández de la Fuente worked for from 2010 to 2020.,"University of Potsdam (2010, 2011)
National University of Distance Education (2011, 2012, 2013, 2014, 2015, 2016, 2017)
Complutense University of Madrid (2017, 2018, 2019, 2020)","[Final Answer]: I'm sorry, but I don't have any information about David Hernández de la Fuente's employers from 2010 to 2020."
List all employers Deborah L. Birx worked for from 2010 to 2020.,"Centers for Disease Control and Prevention (2010, 2011, 2012, 2013, 2014)
President's Emergency Plan for AIDS Relief (2014, 2015, 2016, 2017, 2018, 2019, 2020)
White House Coronavirus Task Force (2020)","[Final Answer]: U.S. Department of State (2010, 2011, 2012, 2013, 2014, 2015, 2016)
U.S. Department of Health and Human Services (2020)"
List all employers Christodoulos I. Stefanadis worked for from 2014 to 2020.,"Emory University School of Medicine (2014, 2015, 2016, 2017, 2018, 2019, 2020)
Yale University (2014, 2015, 2016, 2017, 2018, 2019, 2020)","[Final Answer]: I'm sorry, but I couldn't find any information about the employers Christodoulos I. Stefanadis worked for from 2014 to 2020."
List all heads of the government of Iran. from 2010 to 2020 ,"Mahmoud Ahmadinejad (2010, 2011, 2012, 2013)
Hassan Rouhani (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","[Final Answer]: Mahmoud Ahmadinejad (2010)
Hassan Rouhani (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all heads of the government of Kazakhstan. from 2014 to 2020 ,"Karim Massimov (2014, 2015, 2016)
Bakhytzhan Sagintayev (2016, 2017, 2018, 2019)
Askar Mamin (2019, 2020)","[Final Answer]: Nursultan Nazarbayev (2014, 2015, 2016, 2017, 2018)
Kassym-Jomart Tokayev (2019, 2020)"
List all heads of the government of Venezuela. from 2013 to 2020 ,"Nicolás Maduro (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Juan Guaidó (2019, 2020)","[Final Answer]: Nicolás Maduro (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all heads of the government of Quebec. from 2010 to 2020 ,"Jean Charest (2010, 2011, 2012)
Pauline Marois (2012, 2013, 2014)
Philippe Couillard (2014, 2015, 2016, 2017, 2018)
François Legault (2018, 2019, 2020)","[Final Answer]: Philippe Couillard (2014, 2015, 2016, 2017)
François Legault (2018, 2019, 2020)"
List all heads of the government of Denmark. from 2010 to 2020 ,"Lars Løkke Rasmussen (2010, 2011, 2015, 2016, 2017, 2018, 2019)
Helle Thorning-Schmidt (2011, 2012, 2013, 2014, 2015)
Mette Frederiksen (2019, 2020)","[Final Answer]: Helle Thorning-Schmidt (2010-2015)
Lars Løkke Rasmussen (2015-2019)
Mette Frederiksen (2019-present)"
List all heads of the government of Richmond. from 2010 to 2020 ,"Dwight Clinton Jones (2010, 2011, 2012, 2013, 2014, 2015, 2016)
Levar Stoney (2016, 2017, 2018, 2019, 2020)","[Final Answer]: Unfortunately, I do not have access to the specific information regarding the heads of government in Richmond from 2010 to 2020."
List all heads of the government of Portland. from 2011 to 2020 ,"Charlie Hales (2013, 2014, 2015, 2016, 2017)
Ted Wheeler (2017, 2018, 2019, 2020)
Michael F. Brennan (2011, 2012, 2013, 2014, 2015)
Ethan Strimling (2015, 2016, 2017, 2018, 2019)
Kate Snyder (2019, 2020)",[Final Answer]: There is no specific information available about the heads of government of Portland from 2011 to 2020.
List all heads of the government of Turin. from 2010 to 2020 ,"Sergio Chiamparino (2010, 2011)
Piero Fassino (2011, 2012, 2013, 2014, 2015, 2016)
Chiara Appendino (2016, 2017, 2018, 2019, 2020)","[Final Answer]: I'm sorry, but I don't have access to the specific information regarding the heads of government of Turin from 2010 to 2020."
List all heads of the government of Sudan. from 2017 to 2020 ,"Bakri Hassan Saleh (2017, 2018)
Motazz Moussa (2018, 2019)
Abdalla Hamdok (2019, 2020)
Mohamed Tahir Ayala (2019)","[Final Answer]: As of my knowledge, the head of the government of Sudan from 2017 to 2020 was Omar al-Bashir."
List all heads of the government of San Jose. from 2010 to 2020 ,"Chuck Reed (2010, 2011, 2012, 2013, 2014)
Sam Liccardo (2014, 2015, 2016, 2017, 2018, 2019, 2020)","[Final Answer]: I'm sorry, but I don't have access to the specific information about the heads of government in San Jose from 2010 to 2020."
List all heads of the government of Warsaw. from 2010 to 2020 ,"Hanna Gronkiewicz-Waltz (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018)
Rafał Trzaskowski (2018, 2019, 2020)","[Final Answer]: Hanna Gronkiewicz-Waltz (2010, 2011, 2012, 2013, 2014, 2015)
Rafał Trzaskowski (2020)"
List all heads of the government of Geneva. from 2012 to 2020 ,"Rémy Pagani (2012, 2013, 2017, 2018)
Sandrine Salerno (2013, 2014, 2019, 2020)
Esther Alder (2015, 2016)
Guillaume Barazzone (2016, 2017)","[Final Answer]: François Longchamp (2012)
Serge Dal Busco (2013)
Luc Barthassat (2014)
Pierre Maudet (2015, 2016, 2017, 2018)
Antonio Hodgers (2019, 2020)"
List all heads of the government of Faroe Islands. from 2010 to 2020 ,"Kaj Leo Johannesen (2010, 2011, 2012, 2013, 2014, 2015)
Aksel V. Johannesen (2015, 2016, 2017, 2018, 2019, 2020)","[Final Answer]: Kaj Leo Johannesen (2010, 2011, 2012, 2013)
Aksel V. Johannesen (2015, 2016, 2017, 2018, 2019)
Bárður á Steig Nielsen (2020)"
List all heads of the government of Prague. from 2010 to 2020 ,"Bohuslav Svoboda (2010, 2011, 2012, 2013)
Pavel Bém (2010)
Tomáš Hudeček (2013, 2014)
Adriana Krnáčová (2014, 2015, 2016, 2017, 2018)
Zdeněk Hřib (2018, 2019, 2020)",[Final Answer]: There is no specific information available about the heads of the government of Prague from 2010 to 2020.
List all heads of the government of Auckland. from 2010 to 2020 ,"Len Brown (2010, 2011, 2012, 2013, 2014, 2015, 2016)
Phil Goff (2016, 2017, 2018, 2019, 2020)","[Final Answer]: Auckland does not have a separate head of government as it is governed by the Auckland Council, which is led by a mayor. Therefore, there are no specific heads of government for Auckland from 2010 to 2020."
List all coaches of Olympiacos F.C.. from 2010 to 2020,"Ernesto Valverde (2010, 2011, 2012)
Pedro Martins (2018, 2019, 2020)","[Final Answer]: Leonardo Jardim (2010-2012)
Ernesto Valverde (2012-2014)
Michel (2013-2015)
Marco Silva (2015-2016)
Paulo Bento (2016-2017)
Takis Lemonis (interim) (2017)
Besnik Hasi (interim) (2017-  18 )
Óscar García Junyent(  18 -19 )
Pedro Martins( 19 -20 )"
List all coaches of Green Bay Packers. from 2010 to 2020,"Mike McCarthy (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018)
Matt LaFleur (2019, 2020)","[Final Answer]: Mike McCarthy (2010, 2011, 2012, 2013, 2014, 2015, 2016)
Matt LaFleur (2019, 2020)"
List all coaches of Kei Nishikori. from 2010 to 2020,"Brad Gilbert (2010, 2011)
Michael Chang (2014, 2015, 2016, 2017, 2018, 2019, 2020)","[Final Answer]: Dante Bottini (2010, 2011, 2012, 2013, 2014)
Michael Chang (2014, 2015, 2016)
Dante Bottini (2017)
Max Mirnyi (2020)"
List all coaches of Richard Gasquet. from 2010 to 2020,"Gabriel Markus (2010)
Sergi Bruguera (2014, 2015, 2016, 2017, 2018, 2019, 2020)","[Final Answer]: Sergi Bruguera (2010-2011)
Riccardo Piatti (2012-2013)
Thierry Champion (2014-2020)"
List all coaches of Western Bulldogs. from 2012 to 2020,"Brendan McCartney (2012, 2013, 2014)
Luke Beveridge (2015, 2016, 2017, 2018, 2019, 2020)","[Final Answer]: Brendan McCartney (2012, 2013, 2014)
Luke Beveridge (2015, 2016, 2017, 2018, 2019, 2020)"
List all coaches of West Bromwich Albion F.C.. from 2018 to 2020,"Darren Moore (2018, 2019)
James Shan (2019)
Slaven Bilić (2019, 2020)","[Final Answer]: Darren Moore (2018)
James Shan (2019)
Slaven Bilić (2019, 2020)"
List all coaches of Nea Salamis Famagusta FC. from 2010 to 2020,"Nir Klinger (2010)
Stephen Constantine (2010, 2011, 2012)
Nedim Tutić (2010)
Mirsad Jonuz (2012, 2013)
Apostolos Charalampidis (2013)
Dimitris Kalaitzidis (2013, 2014)
Nikos Panayiotou (2014, 2015)
Neophytos Larkou (2014)
Floros Nicolaou (2015)
Jan de Jonge (2015, 2016)
Eugen Neagoe (2016)
Staikos Vergetis (2016, 2017)
Savvas Poursaitidis (2017, 2018, 2019, 2020)
António Conceição da Silva Oliveira (2017)
Liasos Louka (2017)
Pambos Christodoulou (2020)","[Final Answer]: I'm sorry, but I don't have access to the specific information about the coaches of Nea Salamis Famagusta FC from 2010 to 2020."
List all coaches of Wolverhampton Wanderers F.C.. from 2016 to 2020,"Walter Zenga (2016)
Nuno Espírito Santo (2017, 2018, 2019, 2020)","[Final Answer]: Nuno Espírito Santo (2017, 2018, 2019, 2020)"
List all coaches of New York Red Bulls. from 2015 to 2020,"Jesse Marsch (2015, 2016, 2017, 2018)
Chris Armas (2018, 2019, 2020)","[Final Answer]: Jesse Marsch (2015, 2016, 2017)
Chris Armas (2018, 2019, 2020)"
List all coaches of Parma Calcio 1913. from 2016 to 2020,"Roberto D'Aversa (2016, 2017, 2018, 2019, 2020)
Fabio Liverani (2020)","[Final Answer]: Roberto Donadoni (2016)
Massimo Drago (2016)
Roberto D'Aversa (2017, 2018, 2019, 2020)"
List all coaches of Netherlands national association football team. from 2012 to 2020,"Louis van Gaal (2012, 2013, 2014)
Ronald Koeman (2018, 2019, 2020)
Frank de Boer (2020)","[Final Answer]: Louis van Gaal (2012-2014, 2021-present)
Guus Hiddink (2014-2015)
Danny Blind (2015-2017)
Dick Advocaat (2017)
Ronald Koeman (2018-2020)"
List all coaches of F.C. Copenhagen. from 2013 to 2020,"Ståle Solbakken (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Hjalte Nørregaard (2020)","[Final Answer]: Ståle Solbakken (2013-2018)
Jess Thorup (2018-2020)"
List all coaches of FC St. Pauli. from 2017 to 2020,"Markus Kauczinski (2017, 2018, 2019)
Jos Luhukay (2019, 2020)
Timo Schultz (2020)","[Final Answer]: Olaf Janßen (2017)
Markus Kauczinski (2017, 2018)
Jos Luhukay (2019, 2020)"
List all coaches of Arminia Bielefeld. from 2017 to 2020,"Jeff Saibene (2017, 2018)
Uwe Neuhaus (2018, 2019, 2020)","[Final Answer]: Jeff Saibene (2017, 2018)
Uwe Neuhaus (2018, 2019, 2020)"
List all coaches of 1. FC Union Berlin. from 2010 to 2020,"Uwe Neuhaus (2010, 2011, 2012, 2013, 2014)
Norbert Düwel (2014, 2015)
Sascha Lewandowski (2015, 2016)
André Hofschneider (2016)
Jens Keller (2016, 2017, 2018)
Urs Fischer (2018, 2019, 2020)","[Final Answer]: Uwe Neuhaus (2010, 2011, 2012, 2013, 2014)
Norbert Düwel (2014, 2015)
André Hofschneider (2015)
Sascha Lewandowski (2015)
Jens Keller (2016, 2017)
André Hofschneider (interim) (2017)
Daniel Meyer (interim) (2017)
Urs Fischer (since 2018)"
List all entities that owned The Onion from 2010 to 2020.,"Fusion Media Group (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019)
G/O Media (2019, 2020)","[Final Answer]: Univision Communications Inc. (2010, 2016)
Fusion Media Group (2016, 2020)"
List all entities that owned Salvator Mundi from 2010 to 2020.,"Alexander Parish (2010, 2011, 2012, 2013)
Dmitry Rybolovlev (2013, 2014, 2015, 2016, 2017)
Abu Dhabi Tourism & Culture Authority (2017, 2018, 2019, 2020)","[Final Answer]: Unknown (2010-2013), Yves Bouvier (2013-2014), Dmitry Rybolovlev (2014-2020)"
List all entities that owned South China Morning Post from 2010 to 2020.,"Great Wall Pan Asia Holdings (2010, 2011, 2012, 2013, 2014, 2015, 2016)
Alibaba Group (2016, 2017, 2018, 2019, 2020)","[Final Answer]: Kuok Group (2010)
SCMP Group Limited (2011, 2012, 2013, 2014, 2015)
Alibaba Group (2016, 2017, 2018, 2019, 2020)"
List all entities that owned Boston Globe from 2010 to 2020.,"The New York Times Company (2010, 2011, 2012, 2013)
John W. Henry (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","[Final Answer]: The New York Times Company (2010, 2011, 2012, 2013, 2014)
John W. Henry (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)"
List all entities that owned Blue Coat Systems from 2011 to 2020.,"Thoma Bravo (2011, 2012, 2013, 2014, 2015)
Bain Capital (2015, 2016)
NortonLifeLock (2016, 2017, 2018, 2019, 2020)","[Final Answer]: Bain Capital (2011-2015)
Symantec Corporation (2015-2020)"
List all entities that owned Numedal Line from 2010 to 2020.,"Norwegian National Rail Administration (2010, 2011, 2012, 2013, 2014, 2015, 2016)
Bane NOR (2017, 2018, 2019, 2020)","[Final Answer]: Norwegian National Rail Administration (2010, 2011, 2012, 2013)
Norwegian State Railways (2014, 2015, 2016, 2017)
Bane NOR SF (2018, 2019, 2020)"
List all entities that owned ADV Ocean Shield from 2010 to 2020.,"DOF ASA (2010, 2011, 2012)
Australian Border Force (2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","[Final Answer]: Australian Maritime Safety Authority (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017)
Department of Defence (Australia) (2018, 2019)
Australian Customs and Border Protection Service (2020)"
List all entities that owned Eudora from 2010 to 2020.,"Qualcomm Inc. (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018)
Computer History Museum (2018, 2019, 2020)",[Final Answer]: There is no information available about the entities that owned Eudora from 2010 to 2020.
List all entities that owned Le Rêve from 2010 to 2020.,"Steve Wynn (2010, 2011, 2012, 2013)
Steven A. Cohen (2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","[Final Answer]: Wynn Resorts (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018)
No further information is available for the years beyond 2018."
List all entities that owned Toll Collect from 2010 to 2018.,"Daimler Financial Services (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018)
Vinci (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018)
Deutsche Telekom (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018)","[Final Answer]: Deutsche Telekom AG (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018)
Daimler AG (2010, 2011, 2012, 2013, 2014, 2015)
Cofiroute SA (a subsidiary of Vinci SA) (from July to December in the year of sale: in this case only for the year of sale - from July to December in the year of sale)"
List all entities that owned West Horsley Place from 2010 to 2020.,"Mary Innes-Ker, Duchess of Roxburghe (2010, 2011, 2012, 2013, 2014)
Bamber Gascoigne (2014, 2015, 2016, 2017, 2018, 2019, 2020)","[Final Answer]: West Horsley Place Estate (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019)
Bamber Gascoigne (2020)"
List all entities that owned Expobank CZ from 2010 to 2020.,"Landesbank Baden-Württemberg (2010, 2011, 2012, 2013, 2014)
Igor Kim (2014, 2015, 2016, 2017, 2018, 2019, 2020)","[Final Answer]: I'm sorry, but I couldn't find any information on the entities that owned Expobank CZ from 2010 to 2020."
List all entities that owned Rothschild from 2010 to 2020.,"Alexander Ivanov (2010, 2011, 2012, 2013, 2014)
Hermitage Museum (2014, 2015, 2016, 2017, 2018, 2019, 2020)",[Final Answer]: There is not enough information available to answer the question.
List all entities that owned Vésuve de Brekka from 2012 to 2020.,"Republican Guard (2012, 2013, 2014, 2015, 2016, 2017, 2018)
Xi Jinping (2018, 2019, 2020)",[Final Answer]: There is no publicly available information on the entities that owned Vésuve de Brekka from 2012 to 2020.
List all entities that owned Kirkus Reviews from 2010 to 2020.,"Herbert Simon (2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020)
Verenigde Nederlandse Uitgeverijen (2010)","[Final Answer]: Nielsen Business Media (2010)
Herb Simon (2010-2017)
Nash Holdings LLC (2017-2020)"
